yearel,myoutcome,second,myoutcomenext,use,difshare,difgrp,mmyoutcomenext,mrunagain,mofficeexp,melectexp,mpmyoutcomenext,mprunagain,mpofficeexp,mpelectexp
1976,0,,0,,-.64221287,71,,,,,,,,
1978,1,,0,1,.39844477,279,.89361703,.91489363,4.9361701,5.0851064,.83571392,.88090527,4.7145267,4.8208785
1978,0,1,0,,-.39844477,120,,,,,,,,
1980,1,,1,1,.067488343,213,.71929824,.82456142,2.3157895,2.6315789,.70737284,.86735737,2.1883206,2.4271116
1980,0,1,0,,-.067488343,186,,,,,,,,
1982,1,,1,1,.12271446,224,.77142859,.91428572,4.0857143,4.3428574,.76828068,.87065113,2.900142,3.1115191
1982,0,1,0,,-.12271446,175,,,,,,,,
1982,0,,0,,-.55033576,89,,,,,,,,
1984,1,,1,1,.091963708,218,.78431374,.88235295,3.0196078,3.1568627,.73888135,.86879593,2.5254352,2.751658
1984,0,1,0,,-.091963708,181,,,,,,,,
1984,0,,0,,-.53925246,92,,,,,,,,
1986,1,,1,1,.34769091,269,.78723407,.89361703,4.5319147,4.5957446,.83589482,.88069469,4.5743465,4.6953263
1986,0,1,0,,-.34769091,130,,,,,,,,
1988,1,,1,1,.27236331,254,.78260869,.86956519,3.9565217,4.130435,.8302536,.87872714,4.2151895,4.3621597
1988,0,1,0,,-.27236331,145,,,,,,,,
1990,1,,1,1,.19410026,238,.81578946,.86842108,2.9736843,3.1578948,.80951077,.87484437,3.6154876,3.7950702
1990,0,1,0,,-.19410026,161,,,,,,,,
1992,1,,1,1,.01596573,203,.55555558,.84444445,1.8,2.1111112,.61731791,.86496389,1.4257348,1.6907386
1992,0,1,0,,-.01596573,196,,,,,,,,
1994,1,,1,1,.00011286139,200,.57446808,.80851066,1.7021277,2,.58339572,.86446267,1.1838278,1.4566008
1994,0,1,0,,-.00011286139,199,,,,,,,,
1994,0,,0,,-.27662557,144,,,,,,,,
1996,1,,1,1,.066486865,213,.71929824,.82456142,2.3157895,2.6315789,.70737284,.86735737,2.1883206,2.4271116
1996,0,1,0,,-.066486865,186,,,,,,,,
1996,0,,0,,-.48689565,102,,,,,,,,
1996,0,,0,,-.51025093,97,,,,,,,,
1998,1,,,,.25555602,251,,,,,,,,
1998,0,1,,,-.25555602,148,,,,,,,,
1998,0,,,,-.5787403,84,,,,,,,,
1998,0,,,,-.60605633,78,,,,,,,,
1946,1,,0,,.17721009,235,,,,,,,,
1946,0,1,0,1,-.17721009,164,0,.18518518,.018518519,.22222222,.012148693,.16442914,.23533584,.45243144
1948,1,,0,1,.0067006648,201,.6875,.91666669,1.8125,1.9791666,.59540683,.86462212,1.2675594,1.5376698
1948,0,1,0,,-.0067006648,198,,,,,,,,
1948,0,,0,,-.48372483,103,,,,,,,,
1950,1,,0,1,.041162103,208,.62903225,.80645162,1.8548387,2.032258,.66749591,.86605817,1.8228734,2.0745757
1950,0,1,0,,-.041162103,191,,,,,,,,
1950,0,,0,,-.51641667,96,,,,,,,,
1952,1,,1,,.055173784,211,,,,,,,,
1952,0,1,0,1,-.055173784,188,.11320755,.26415095,.60377359,.81132078,.074640334,.29446054,.6958738,.95856428
1954,1,,1,,.053275347,210,,,,,,,,
1954,0,1,0,1,-.053275347,189,.079999998,.30000001,.36000001,.54000002,.080078073,.30478385,.72342569,.98741925
1956,1,,0,,.19999242,239,,,,,,,,
1956,0,1,1,1,-.19999242,160,.054054055,.27027026,.2972973,.54054052,.0092504118,.15543707,.18806598,.39671266
1958,1,,1,1,.12445116,224,.77142859,.91428572,4.0857143,4.3428574,.76828068,.87065113,2.900142,3.1115191
1958,0,1,0,,-.12445116,175,,,,,,,,
1960,1,,1,1,.098210901,219,.80000001,.875,2.2249999,2.375,.74402672,.86907792,2.586005,2.809895
1960,0,1,0,,-.098210901,180,,,,,,,,
1962,1,,1,1,.1204271,224,.77142859,.91428572,4.0857143,4.3428574,.76828068,.87065113,2.900142,3.1115191
1962,0,1,0,,-.1204271,175,,,,,,,,
1964,1,,1,1,.27793229,255,.90697676,.93023258,3.7441862,3.8372092,.83096814,.87892085,4.245985,4.3910184
1964,0,1,0,,-.27793229,144,,,,,,,,
1966,1,,1,1,.11607867,223,.84444445,.93333334,2.7555556,2.9555554,.76348358,.87030369,2.8337548,3.047837
1966,0,1,0,,-.11607867,176,,,,,,,,
1966,0,,0,,-.47719854,104,,,,,,,,
1968,1,,1,1,.11542991,223,.84444445,.93333334,2.7555556,2.9555554,.76348358,.87030369,2.8337548,3.047837
1968,0,1,0,,-.11542991,176,,,,,,,,
1968,0,,0,,-.50452459,99,,,,,,,,
1970,1,,1,1,.12230062,224,.77142859,.91428572,4.0857143,4.3428574,.76828068,.87065113,2.900142,3.1115191
1970,0,1,0,,-.12230062,175,,,,,,,,
1970,0,,0,,-.51462114,97,,,,,,,,
1972,1,,1,1,.065503478,213,.71929824,.82456142,2.3157895,2.6315789,.70737284,.86735737,2.1883206,2.4271116
1972,0,1,0,,-.065503478,186,,,,,,,,
1974,1,,1,1,.33698779,267,.92105263,.94736844,4.5,4.7894735,.83562344,.88053739,4.5358047,4.6600847
1974,0,1,0,,-.33698779,132,,,,,,,,
1974,0,,0,,-.6303556,73,,,,,,,,
1974,0,,0,,-.63825339,72,,,,,,,,
1976,1,,1,1,.11188874,222,.71794873,.76923078,3.1794872,3.4358974,.75937617,.87002134,2.7786884,2.9949894
1976,0,1,0,,-.11188874,177,,,,,,,,
1976,0,,0,,-.53308058,93,,,,,,,,
1976,0,,0,,-.54030359,91,,,,,,,,
1978,1,,0,1,.18111685,236,.83333331,.87037039,3.4814816,3.5925925,.80530518,.87427485,3.5250316,3.708955
1978,0,1,0,,-.18111685,163,,,,,,,,
1978,0,,0,,-.56292892,87,,,,,,,,
1980,1,,0,,.058670729,211,,,,,,,,
1980,0,1,0,1,-.058670729,188,.11320755,.26415095,.60377359,.81132078,.074640334,.29446054,.6958738,.95856428
1980,0,,0,,-.51115197,97,,,,,,,,
1982,1,,1,1,.0092973709,201,.6875,.91666669,1.8125,1.9791666,.59540683,.86462212,1.2675594,1.5376698
1982,0,1,0,,-.0092973709,198,,,,,,,,
1982,0,,0,,-.49310824,101,,,,,,,,
1982,0,,0,,-.49568748,100,,,,,,,,
1984,1,,1,1,.054073513,210,.60869563,.9130435,2,2.0652175,.68490428,.86656767,1.97565,2.2220385
1984,0,1,0,,-.054073513,189,,,,,,,,
1984,0,,0,,-.52403021,95,,,,,,,,
1984,0,,0,,-.52494967,95,,,,,,,,
1986,1,,1,1,.39291331,278,.90476191,.90476191,4.9761906,5.0238094,.83582008,.88092548,4.7039347,4.811635
1986,0,1,0,,-.39291331,121,,,,,,,,
1988,1,,0,1,.32985666,265,.77999997,.77999997,3.8800001,4.0599999,.83523673,.88035113,4.4956613,4.6231914
1988,0,1,0,,-.32985666,134,,,,,,,,
1990,1,,1,1,.042086631,208,.62903225,.80645162,1.8548387,2.032258,.66749591,.86605817,1.8228734,2.0745757
1990,0,1,0,,-.042086631,191,,,,,,,,
1992,1,,1,1,.31357467,262,.70588237,.82352942,4.1764708,4.2352943,.83442134,.8800171,4.4311776,4.5636134
1992,0,1,0,,-.31357467,137,,,,,,,,
1994,1,,1,1,.26898006,253,.8611111,.94444442,3.75,3.9444444,.82947636,.87852508,4.1833878,4.3323207
1994,0,1,0,,-.26898006,146,,,,,,,,
1996,1,,1,1,.43275195,286,.90196079,.92156863,4.8627453,4.9607844,.8345865,.88050121,4.7703891,4.8677864
1996,0,1,0,,-.43275195,113,,,,,,,,
1996,0,,0,,-.70772451,58,,,,,,,,
1998,1,,,,.43962014,287,,,,,,,,
1998,0,1,,,-.43962014,112,,,,,,,,
1998,0,,,,-.70839316,58,,,,,,,,
1998,0,,,,-.70880264,58,,,,,,,,
1998,0,,,,-.70916665,58,,,,,,,,
1946,1,,1,,.21748826,243,,,,,,,,
1946,0,1,0,1,-.21748826,156,0,.11111111,.022222223,.17777778,.0071723945,.14828786,.14729507,.34768903
1946,0,,0,,-.51369995,97,,,,,,,,
1946,0,,0,,-.55397803,89,,,,,,,,
1948,1,,0,,.11762807,223,,,,,,,,
1948,0,1,0,1,-.11762807,176,.033898305,.22033899,.66101694,.84745765,.029968798,.20792168,.42325765,.66545564
1948,0,,0,,-.53691775,92,,,,,,,,
1950,1,,1,,.11028755,222,,,,,,,,
1950,0,1,0,1,-.11028755,177,.01923077,.17307693,.55769229,.69230771,.032404345,.21307094,.4423925,.68655396
1950,0,,0,,-.48219806,103,,,,,,,,
1952,1,,1,,.20718631,241,,,,,,,,
1952,0,1,0,1,-.20718631,158,0,.19148937,.08510638,.29787233,.0081001045,.151566,.16638574,.37076825
1952,0,,0,,-.59474158,81,,,,,,,,
1954,1,,1,,.14833525,229,,,,,,,,
1954,0,1,0,1,-.14833525,170,.075471699,.2264151,.3018868,.49056605,.018767826,.18226156,.3191154,.54885036
1954,0,,0,,-.53734231,92,,,,,,,,
1956,1,,0,,.37233794,274,,,,,,,,
1956,0,1,0,1,-.37233794,125,0,.22857143,0,.11428571,.0019445897,.12782505,.013293211,.17480305
1956,0,,0,,-.67849678,64,,,,,,,,
1958,1,,0,1,.01811102,203,.55555558,.84444445,1.8,2.1111112,.61731791,.86496389,1.4257348,1.6907386
1958,0,1,0,,-.01811102,196,,,,,,,,
1960,1,,1,,.033361137,206,,,,,,,,
1960,0,1,0,1,-.033361137,193,.06818182,.38636363,.45454547,.72727275,.10328392,.35059243,.83782566,1.1059901
1960,0,,0,,-.50542611,98,,,,,,,,
1962,1,,0,,.040136188,208,,,,,,,,
1962,0,1,0,1,-.040136188,191,.018181818,.27272728,.56363636,.87272727,.091499746,.32688272,.78006059,1.04636
1964,1,,1,1,.036212653,207,.76595747,.91489363,1.6170213,1.9361702,.65920854,.8658421,1.7532227,2.0073102
1964,0,1,0,,-.036212653,192,,,,,,,,
1966,1,,0,1,.019154072,203,.55555558,.84444445,1.8,2.1111112,.61731791,.86496389,1.4257348,1.6907386
1966,0,1,0,,-.019154072,196,,,,,,,,
1968,1,,0,,.04079181,208,,,,,,,,
1968,0,1,0,1,-.04079181,191,.018181818,.27272728,.56363636,.87272727,.091499746,.32688272,.78006059,1.04636
1968,0,,0,,-.50142813,99,,,,,,,,
1970,1,,1,,.13971865,227,,,,,,,,
1970,0,1,0,1,-.13971865,172,.034482758,.1724138,.43103448,.68965518,.021953231,.18998221,.35218093,.58622146
1970,0,,0,,-.55825716,88,,,,,,,,
1972,1,,1,,.26169229,252,,,,,,,,
1972,0,1,0,1,-.26169229,147,0,.14285715,.085714288,.31428573,.0044301627,.13760546,.079394713,.26334229
1974,1,,1,,.080035865,216,,,,,,,,
1974,0,1,0,1,-.080035865,183,.052631579,.28947368,.42105263,.63157892,.051849935,.25151557,.57171679,.82692218
1974,0,,0,,-.51578391,96,,,,,,,,
1976,1,,1,,.23953667,247,,,,,,,,
1976,0,1,0,1,-.23953667,152,0,.23214285,0,.125,.0057195225,.14282523,.11376886,.30654219
1976,0,,0,,-.59408885,81,,,,,,,,
1976,0,,0,,-.6068356,78,,,,,,,,
1978,1,,1,,.16727352,233,,,,,,,,
1978,0,1,0,1,-.16727352,166,0,.06666667,.088888891,.42222223,.013923367,.16951604,.26044387,.48161414
1980,1,,1,,.25154197,250,,,,,,,,
1980,0,1,0,1,-.25154197,149,0,.23529412,.17647059,.36764705,.0048817811,.13947326,.091982491,.27930135
1982,1,,1,,.13592768,227,,,,,,,,
1982,0,1,0,1,-.13592768,172,.034482758,.1724138,.43103448,.68965518,.021953231,.18998221,.35218093,.58622146
1982,0,,0,,-.55777377,88,,,,,,,,
1984,1,,1,,.40787899,281,,,,,,,,
1984,0,1,0,1,-.40787899,118,0,.22222222,0,.25925925,.0014948731,.12675279,.012828397,.17382558
1986,1,,0,,.070819855,214,,,,,,,,
1986,0,1,0,1,-.070819855,185,.06122449,.18367347,.6122449,.91836733,.060147043,.26719928,.61908001,.87746882
1988,1,,1,,.44710717,289,,,,,,,,
1988,0,1,0,1,-.44710717,110,0,.041666668,0,.20833333,.00099916745,.1257104,.019700615,.18422605
1988,0,,0,,-.70622849,58,,,,,,,,
1990,1,,1,,.53124595,306,,,,,,,,
1990,0,1,0,1,-.53124595,93,0,.11111111,.77777779,.77777779,.00018634323,.1224959,.047920033,.23308517
1992,1,,1,,.4059543,281,,,,,,,,
1992,0,1,0,1,-.4059543,118,0,.22222222,0,.25925925,.0014948731,.12675279,.012828397,.17382558
1992,0,,0,,-.61991477,76,,,,,,,,
1992,0,,0,,-.66651636,66,,,,,,,,
1994,1,,1,,.50641227,301,,,,,,,,
1994,0,1,0,1,-.50641227,98,0,.23076923,0,.69230771,.00035742781,.12365685,.038812567,.21633488
1994,0,,0,,-.73071223,53,,,,,,,,
1994,0,,0,,-.73947042,52,,,,,,,,
1996,1,,1,,.22828087,245,,,,,,,,
1996,0,1,0,1,-.22828087,154,0,.25581396,.069767445,.23255815,.0063754525,.14534442,.12951401,.32597172
1996,0,,0,,-.59061432,81,,,,,,,,
1996,0,,0,,-.59938425,80,,,,,,,,
1998,1,,,,.39196378,278,,,,,,,,
1998,0,1,,,-.39196378,121,,,,,,,,
1998,0,,,,-.6801405,63,,,,,,,,
1946,1,,1,,.12305376,224,,,,,,,,
1946,0,1,0,1,-.12305376,175,0,.17948718,.07692308,.33333334,.02781417,.20326391,.40548885,.64577764
1946,0,,0,,-.46952105,106,,,,,,,,
1948,1,,1,,.036621153,207,,,,,,,,
1948,0,1,0,1,-.036621153,192,.03773585,.33962265,.90566039,1.0943396,.096875392,.33755949,.80641967,1.073629
1948,0,,0,,-.50054884,99,,,,,,,,
1948,0,,0,,-.50541919,98,,,,,,,,
1950,1,,1,,.073713243,214,,,,,,,,
1950,0,1,0,1,-.073713243,185,.06122449,.18367347,.6122449,.91836733,.060147043,.26719928,.61908001,.87746882
1950,0,,0,,-.51971745,96,,,,,,,,
1950,0,,0,,-.52762538,94,,,,,,,,
1952,1,,1,,.13409257,226,,,,,,,,
1952,0,1,0,1,-.13409257,173,0,.16666667,.5,.69999999,.023707964,.1940695,.36904097,.60514724
1954,1,,1,,.055007577,211,,,,,,,,
1954,0,1,0,1,-.055007577,188,.11320755,.26415095,.60377359,.81132078,.074640334,.29446054,.6958738,.95856428
1956,1,,0,,.23851013,247,,,,,,,,
1956,0,1,0,1,-.23851013,152,0,.23214285,0,.125,.0057195225,.14282523,.11376886,.30654219
1958,1,,1,1,.075957537,215,.7735849,.88679248,1.5660378,1.6415094,.72071993,.86791235,2.3247347,2.5585215
1958,0,1,0,,-.075957537,184,,,,,,,,
1960,1,,1,1,.10198784,220,.74358976,.87179488,3.2564104,3.4615386,.7493633,.86938769,2.6508601,2.8722246
1960,0,1,0,,-.10198784,179,,,,,,,,
1962,1,,1,1,.17029631,234,.85714287,.9285714,3.1428571,3.1904762,.80069494,.87370056,3.4322157,3.6204813
1962,0,1,0,,-.17029631,165,,,,,,,,
1964,1,,1,1,.34604469,269,.78723407,.89361703,4.5319147,4.5957446,.83589482,.88069469,4.5743465,4.6953263
1964,0,1,0,,-.34604469,130,,,,,,,,
1966,1,,1,1,.18125629,236,.83333331,.87037039,3.4814816,3.5925925,.80530518,.87427485,3.5250316,3.708955
1966,0,1,0,,-.18125629,163,,,,,,,,
1968,1,,1,1,.12630153,225,.80000001,.91111112,3.0666666,3.2444444,.7718417,.87092292,2.9510634,3.1603415
1968,0,1,0,,-.12630153,174,,,,,,,,
1970,1,,0,1,.10465416,220,.74358976,.87179488,3.2564104,3.4615386,.7493633,.86938769,2.6508601,2.8722246
1970,0,1,0,,-.10465416,179,,,,,,,,
1970,0,,0,,-.53769875,92,,,,,,,,
1972,1,,1,,.02366361,204,,,,,,,,
1972,0,1,0,1,-.02366361,195,.049180329,.39344263,.95081967,1.2786885,.11596275,.37765014,.9006964,1.1703689
1974,1,,1,,.024358571,204,,,,,,,,
1974,0,1,0,1,-.024358571,195,.049180329,.39344263,.95081967,1.2786885,.11596275,.37765014,.9006964,1.1703689
1974,0,,0,,-.48773852,102,,,,,,,,
1976,1,,0,,.33763027,267,,,,,,,,
1976,0,1,0,1,-.33763027,132,0,.11904762,0,.16666667,.0024570243,.12945695,.021967404,.18731958
1976,0,,0,,-.65773958,68,,,,,,,,
1978,1,,1,1,.046381831,209,.72222221,.87037039,1.5,1.8703704,.6762889,.86630571,1.8988929,2.1479654
1978,0,1,0,,-.046381831,190,,,,,,,,
1980,1,,1,1,.0073069334,201,.6875,.91666669,1.8125,1.9791666,.59540683,.86462212,1.2675594,1.5376698
1980,0,1,0,,-.0073069334,198,,,,,,,,
1982,1,,0,1,.17623278,235,.73809522,.83333331,4,4.2380953,.80303895,.87398642,3.4786336,3.6647415
1982,0,1,0,,-.17623278,164,,,,,,,,
1982,0,,0,,-.57770818,84,,,,,,,,
1984,1,,1,,.088403821,217,,,,,,,,
1984,0,1,0,1,-.088403821,182,.023809524,.30952382,.78571427,.97619045,.047698446,.24357225,.5466879,.80003756
1984,0,,0,,-.54088598,91,,,,,,,,
1986,1,,1,,.21781099,243,,,,,,,,
1986,0,1,0,1,-.21781099,156,0,.11111111,.022222223,.17777778,.0071723945,.14828786,.14729507,.34768903
1988,1,,0,,.47277379,294,,,,,,,,
1988,0,1,0,1,-.47277379,105,0,.12,0,.079999998,.00069945888,.12495412,.0269244,.1958974
1990,1,,1,,.044652373,208,,,,,,,,
1990,0,1,0,1,-.044652373,191,.018181818,.27272728,.56363636,.87272727,.091499746,.32688272,.78006059,1.04636
1990,0,,0,,-.50673175,98,,,,,,,,
1992,1,,1,,.12526897,225,,,,,,,,
1992,0,1,0,1,-.12526897,174,.018867925,.11320755,.26415095,.50943398,.025672546,.19852643,.3869493,.625157
1992,0,,0,,-.21170454,157,,,,,,,,
1992,0,,0,,-.41534775,116,,,,,,,,
1992,0,,0,,-.43293533,113,,,,,,,,
1992,0,,0,,-.43393001,113,,,,,,,,
1994,1,,0,,.06672886,213,,,,,,,,
1994,0,1,1,1,-.06672886,186,.13043478,.30434781,.26086956,.41304347,.064827502,.27599248,.64455962,.90449029
1994,0,,0,,-.49936056,100,,,,,,,,
1996,1,,1,1,.06132105,212,.75,.86363637,1.5227273,1.8863636,.69984025,.86707407,2.1148489,2.356292
1996,0,1,0,,-.06132105,187,,,,,,,,
1996,0,,0,,-.50662857,98,,,,,,,,
1996,0,,0,,-.51402873,97,,,,,,,,
1998,1,,,,.014908671,202,,,,,,,,
1998,0,1,,,-.014908671,197,,,,,,,,
1998,0,,,,-.48156941,103,,,,,,,,
1964,1,,0,1,.17493629,234,.85714287,.9285714,3.1428571,3.1904762,.80069494,.87370056,3.4322157,3.6204813
1964,0,1,1,,-.17493629,165,,,,,,,,
1966,1,,1,,.012190819,202,,,,,,,,
1966,0,1,0,1,-.012190819,197,.11363637,.31818181,1.2045455,1.4545455,.12828349,.40616447,.96418285,1.234863
1966,0,,0,,-.45477393,109,,,,,,,,
1968,1,,0,,.24575436,249,,,,,,,,
1968,0,1,0,1,-.24575436,150,0,.15384616,.051282052,.33333334,.0051628267,.14061446,.0995114,.28876558
1970,1,,1,1,.021398306,204,.54285717,.82857144,2,2.1142857,.62867785,.86517018,1.5109352,1.7731448
